District,Electrification (%),Literacy Rate (%),Solar Potential (kWh/m2/day),Poverty Level (%),Need_Electrification,Need_Poverty,Normalized_Need_Electrification,Normalized_Literacy Rate (%),Normalized_Solar Potential (kWh/m2/day),Normalized_Need_Poverty,Opportunity Score
Maldah,66,62.71,5.3,40,34,40,0.9696969696969697,0.09594644849386391,0.9999999999999996,0.9655172413793105,0.8032018288837256
Purulia,68,65.38,5.2,38,32,38,0.9090909090909092,0.19523986612123467,0.9090909090909096,0.896551724137931,0.7638128635063789
Uttar Dinajpur,65,60.13,5.1,41,35,41,1.0,0.0,0.8181818181818179,1.0,0.7454545454545454
Murshidabad,70,67.53,5.1,37,30,37,0.8484848484848486,0.27519523986612127,0.8181818181818179,0.8620689655172413,0.7274528410766725
Bankura,75,70.95,5.0,35,25,35,0.696969696969697,0.4023800669393829,0.7272727272727271,0.7931034482758621,0.6663694303157762
Birbhum,76,70.9,5.0,34,24,34,0.6666666666666667,0.40052063964299034,0.7272727272727271,0.7586206896551724,0.6500100840414507
Darjeeling,85,79.92,4.8,25,15,25,0.393939393939394,0.7359613239122353,0.5454545454545454,0.44827586206896547,0.5186656190144219
Cooch Behar,87,75.49,4.7,23,13,23,0.3333333333333333,0.5712160654518406,0.4545454545454546,0.37931034482758624,0.4264689184195217
Jalpaiguri,85,73.79,4.7,22,15,22,0.393939393939394,0.5079955373744891,0.4545454545454546,0.3448275862068965,0.4251100792617317
Paschim Medinipur,88,79.04,4.6,22,12,22,0.30303030303030304,0.7032354034957238,0.36363636363636287,0.3448275862068965,0.40961259794052385
Dakshin Dinajpur,86,73.86,4.6,24,14,24,0.36363636363636365,0.5105987355894386,0.36363636363636287,0.41379310344827586,0.40306018598936083
South 24 Parganas,89,78.57,4.5,21,11,21,0.27272727272727276,0.6857567869096317,0.27272727272727293,0.3103448275862069,0.3628566865355315
Purba Medinipur,95,87.02,4.5,15,5,15,0.09090909090909091,1.0,0.27272727272727293,0.103448275862069,0.329780564263323
North 24 Parganas,96,84.06,4.4,14,4,14,0.06060606060606061,0.8899219040535518,0.1818181818181821,0.06896551724137928,0.264504756986259
Hooghly,95,82.55,4.3,14,5,14,0.09090909090909091,0.8337671997024918,0.09090909090909038,0.06896551724137928,0.23509199793422864
Bardhaman,96,77.15,4.4,13,4,13,0.06060606060606061,0.632949051692079,0.1818181818181821,0.03448275862068967,0.20621363478982657
Nadia,94,75.58,4.3,15,6,15,0.12121212121212122,0.5745630345853479,0.09090909090909038,0.103448275862069,0.19923862572584686
Kolkata,98,86.31,4.2,12,2,12,0.0,0.9735961323912239,0.0,0.0,0.1947192264782448
Howrah,97,83.85,4.2,13,3,13,0.030303030303030304,0.882112309408702,0.0,0.03448275862068967,0.19240992269678744
